Wavelength (μm),Power (W)
0.6999999999999998,0.009746083534651902
0.694736842105263,0.010220188253537222
0.68955223880597,0.010705700993413223
0.6844444444444443,0.011202302877186775
0.6794117647058822,0.011710116399684209
0.6744525547445255,0.012229239067755214
0.6695652173913043,0.012759242593083125
0.6647482014388488,0.013299046943659269
0.6599999999999999,0.013847281392325656
0.6553191489361702,0.014402848472111124
0.6507042253521126,0.014965234352451073
0.6461538461538461,0.01553430707139906
0.6416666666666665,0.016109758022602855
0.6372413793103447,0.016690637271766527
0.6328767123287671,0.017275365428572716
0.6285714285714286,0.017862222538049043
0.6243243243243243,0.018449924967296697
0.6201342281879194,0.019037823150081547
0.6159999999999999,0.01962555538487011
0.6119205298013244,0.02021243446900571
0.6078947368421052,0.020797065969208883
0.6039215686274508,0.021377514903138738
0.5999999999999999,0.021951894818143757
0.5961290322580645,0.022518907886787513
0.5923076923076922,0.02307789960758773
0.5885350318471337,0.023628382570075355
0.5848101265822784,0.024169415396169083
0.5811320754716981,0.02469934402994864
0.5774999999999999,0.02521612184955482
0.5739130434782608,0.025717956254055842
0.5703703703703703,0.026203762814472877
0.5668711656441717,0.026673061782520605
0.5634146341463414,0.02712540279212205
0.5599999999999999,0.027559786557436326
0.5566265060240964,0.02797455588804426
0.5532934131736527,0.028367848640834456
0.5499999999999999,0.028738249952883207
0.5467455621301774,0.02908511963832057
0.5435294117647058,0.02940833392640617
0.5403508771929824,0.029707654899516135
0.5372093023255813,0.029982241385049242
0.5341040462427745,0.03023069875394156
0.5310344827586206,0.030451627678051214
0.528,0.030644228820621452
0.525,0.030808477735968752
0.5220338983050847,0.030944734854102544
0.5191011235955055,0.03105310879080919
0.5162011173184357,0.031133088126957007
0.5133333333333333,0.031183748857341823
0.5104972375690607,0.031204346598941893
0.5076923076923077,0.031194826947183816
0.5049180327868852,0.031155841208119348
0.5021739130434782,0.03108826026874458
0.49945945945945935,0.030992584246395057
0.4967741935483871,0.030868723093395282
0.49411764705882355,0.030716317695947633
0.49148936170212765,0.030535333842467104
0.4888888888888888,0.030326446438055547
0.48631578947368415,0.030090907621978556
0.4837696335078534,0.02983001207449603
0.48124999999999996,0.029544593713606175
0.47875647668393784,0.02923495383062473
0.47628865979381435,0.028901266350831817
0.4738461538461538,0.02854412250382032
0.4714285714285715,0.028164772957292496
0.46903553299492384,0.02776487765660002
0.46666666666666656,0.027345971895452206
0.46432160804020095,0.026909078890453075
0.462,0.026454770961417986
0.4597014925373134,0.025983614852200562
0.45742574257425744,0.025496631499916794
0.4551724137931034,0.024995399288765697
0.45294117647058824,0.024481725062664276
0.4507317073170732,0.02395715433652536
0.44854368932038835,0.023422712211467762
0.44637681159420284,0.022879070408593834
0.4442307692307692,0.02232699003218235
0.4421052631578947,0.021767675001306847
0.43999999999999995,0.021202754574080638
0.437914691943128,0.02063391844683668
0.43584905660377354,0.020062503691548435
0.43380281690140843,0.01948936050586322
0.43177570093457945,0.018915090211917424
0.4297674418604651,0.018340449735144787
0.4277777777777777,0.01776659258817659
0.4258064516129032,0.01719495932335206
0.42385321100917434,0.016626916352871387
0.42191780821917807,0.016063437893461513
0.42,0.015505079551583761
0.4180995475113122,0.014952250502403643
0.41621621621621624,0.014405554443236188
0.4143497757847534,0.013865925295773579
0.4125,0.013334458632495164
0.4106666666666666,0.012812085397829482
0.4088495575221239,0.012299352718416888
0.40704845814977975,0.011796479618148894
0.4052631578947368,0.011303630228227921
0.4034934497816594,0.010821178132454264
0.4017391304347826,0.010349753847756105
0.4,0.009890049333190879
