2, 2.15
1.907, 1.99
1.771, 1.77
1.653, 1.59
1.55, 1.44
1.5, 1.38
1.459, 1.33
1.378, 1.26
1.305, 1.23
1.24, 1.21
1.2, 1.21
1.181, 1.21
1.127, 1.2
1.078, 1.21
1.033, 1.26
1, 1.35
0.9919, 1.37
0.9537, 1.58
0.95, 1.49
0.925, 1.77
0.9184, 1.86
0.9, 2.06
0.8856, 2.24
0.875, 2.38
0.8551, 2.58
0.85, 2.61
0.8266, 2.74
0.825, 2.75
0.7999, 2.8
0.7749, 2.63
0.7514, 2.41
0.75, 2.4
0.7293, 2.14
0.7085, 1.91
0.7, 1.83
0.6888, 1.74
0.6702, 1.6
0.6526, 1.49
0.65, 1.47
0.6358, 1.39
0.6199, 1.3
0.6048, 1.22
0.6, 1.2
0.5904, 1.15
0.5767, 1.08
0.5636, 1.02
0.551, 0.963
0.55, 0.958
0.5391, 0.912
0.5276, 0.867
0.5166, 0.826
0.5061, 0.789
0.5, 0.769
0.4959, 0.755
0.4769, 0.695
0.4592, 0.644
0.45, 0.618
0.4428, 0.598
0.4275, 0.558
0.4133, 0.523
0.4, 0.49
0.3875, 0.46
0.3757, 0.432
0.3647, 0.407
0.3542, 0.385
0.35, 0.375
0.3444, 0.364
0.3351, 0.344
0.3263, 0.326
0.3179, 0.31
0.31, 0.294
0.3, 0.276
0.2917, 0.261
0.2755, 0.233
0.261, 0.209
0.248, 0.19
0.2362, 0.172
0.2254, 0.155
0.2156, 0.141
0.2066, 0.13
0.1984, 0.119



