lambda, Y
4.45319e-07, 1.89676
4.4461e-07, 1.89842
4.43902e-07, 1.90023
4.43197e-07, 1.90221
4.42495e-07, 1.90437
4.41794e-07, 1.90671
4.41096e-07, 1.90927
4.404e-07, 1.91205
4.39706e-07, 1.91504
4.39014e-07, 1.91823
4.38325e-07, 1.92161
4.37637e-07, 1.9252
4.36952e-07, 1.929
4.36269e-07, 1.93305
4.35588e-07, 1.93734
4.34909e-07, 1.94188
4.34232e-07, 1.94667
4.33558e-07, 1.95169
4.32885e-07, 1.95695
4.32215e-07, 1.96244
4.31546e-07, 1.96819
4.3088e-07, 1.97422
4.30216e-07, 1.98054
4.29554e-07, 1.98713
4.28893e-07, 1.99399
4.28235e-07, 2.00111
4.27579e-07, 2.00848
4.26925e-07, 2.01612
4.26273e-07, 2.02405
4.25623e-07, 2.03227
4.24975e-07, 2.04078
4.24328e-07, 2.04958
4.23684e-07, 2.05864
4.23042e-07, 2.06794
4.22402e-07, 2.0775
4.21763e-07, 2.08731
4.21127e-07, 2.09739
4.20492e-07, 2.10772
4.1986e-07, 2.11831
4.19229e-07, 2.12911
4.186e-07, 2.14011
4.17973e-07, 2.15129
4.17348e-07, 2.16263
4.16725e-07, 2.17413
4.16103e-07, 2.18579
4.15484e-07, 2.19758
4.14866e-07, 2.20948
4.1425e-07, 2.22144
4.13636e-07, 2.23343
4.13024e-07, 2.24541
4.12414e-07, 2.25738
4.11805e-07, 2.2693
4.11198e-07, 2.28117
4.10593e-07, 2.29295
4.0999e-07, 2.30459
4.09389e-07, 2.31605
4.08789e-07, 2.32728
4.08191e-07, 2.33826
4.07595e-07, 2.34897
4.07e-07, 2.3594
4.06408e-07, 2.36953
4.05817e-07, 2.37932
4.05227e-07, 2.38874
4.0464e-07, 2.39775
4.04054e-07, 2.40634
4.0347e-07, 2.4145
4.02887e-07, 2.42223
4.02307e-07, 2.42956
4.01727e-07, 2.43646
4.0115e-07, 2.44295
4.00574e-07, 2.449
4e-07, 2.45463

