Wavelength (μm),LDOS Power (a.u.)
0.6999999999999998,0.7146457568718548
0.6982485404503752,0.7162459574650132
0.6965058236272876,0.7181897691868327
0.6947717842323651,0.7201022438096454
0.693046357615894,0.7216922606860221
0.691329479768786,0.7234670031435531
0.6896210873146621,0.7254703072993695
0.6879211175020541,0.7271830387870769
0.6862295081967212,0.7288099667803533
0.68454619787408,0.7307633979072471
0.6828711256117453,0.7326452580708783
0.6812042310821805,0.7342404202466869
0.6795454545454543,0.7360428705681104
0.6778947368421052,0.7380281810866443
0.6762520193861066,0.7397223746399653
0.674617244157937,0.7413758394313712
0.6729903536977491,0.7433350664057887
0.6713712910986367,0.7451883084307914
0.6697599999999999,0.7467914507999031
0.6681564245810054,0.7486183685231248
0.66656050955414,0.7505844555723861
0.664972200158856,0.7522638819035864
0.663391442155309,0.7539433606133119
0.6618181818181817,0.755904972959113
0.6602523659305992,0.7577317288889849
0.6586939417781273,0.7593452254190187
0.657142857142857,0.7611934522752538
0.6555990602975724,0.7631394980012695
0.6540624999999999,0.7648076604439388
0.6525331254871394,0.7665123540766094
0.6510108864696733,0.7684733290164678
0.6494957331264545,0.7702758219640157
0.6479876160990712,0.7719016283721851
0.6464864864864864,0.7737681096869479
0.6449922958397534,0.7756936550919268
0.6435049961568023,0.777353790924035
0.6420245398773006,0.7790826726938395
0.6405508798775822,0.7810403495443298
0.6390839694656488,0.7828208564391376
0.6376237623762375,0.7844605495164256
0.6361702127659573,0.7863423498709289
0.6347232752084911,0.7882472474083685
0.6332829046898638,0.7899023319860328
0.6318490566037736,0.7916541888194447
0.6304216867469878,0.7936062437691451
0.6290007513148008,0.7953670644835692
0.6275862068965516,0.7970218781880785
0.6261780104712041,0.7989161925100549
0.6247761194029849,0.8008005639737844
0.6233804914370811,0.8024533170064087
0.6219910846953937,0.8042267851683227
0.6206078576723497,0.8061712069248227
0.6192307692307691,0.8079146389401106
0.6178597785977858,0.8095854974483669
0.6164948453608247,0.8114896585295046
0.6151359294636296,0.8133538579063574
0.613782991202346,0.8150067513184457
0.6124359912216532,0.816800347026151
0.6110948905109488,0.8187354137203307
0.6097596504005826,0.8204637315551108
0.6084302325581394,0.8221512794917487
0.6071065989847715,0.824062762801433
0.6057887120115774,0.825907343683374
0.6044765342960288,0.8275626106750729
0.6031700288184437,0.8293747564561126
0.6018691588785047,0.8312990140552896
0.600573888091822,0.8330144528565702
0.5992841803865425,0.8347190829519349
0.598,0.8366355094303951
0.5967213114754097,0.8384611966539872
0.5954480796586059,0.840120841584571
0.594180269694819,0.8419498890540423
0.5929178470254957,0.8438621314825134
0.591660777385159,0.845566874149842
0.5904090267983074,0.8472887525168817
0.5891625615763546,0.8492078899400194
0.5879213483146067,0.8510155550553191
0.5866853538892781,0.8526813638689315
0.5854545454545453,0.8545256134641901
0.584228890439637,0.8564248644986123
0.583008356545961,0.8581210318210529
0.5817929117442668,0.8598601210402811
0.5805825242718446,0.8617798843709221
0.5793771626297577,0.863570524555754
0.5781767955801105,0.8652440754502815
0.5769813921433494,0.8671017935887385
0.5757909215955983,0.8689872905135162
0.574605353466026,0.8706769337729886
0.5734246575342465,0.8724330139275883
0.5722488038277511,0.8743514649803003
0.5710777626193724,0.8761261849691611
0.5699115044247787,0.8778088590362831
0.56875,0.8796782930319127
0.567593220338983,0.8815494719664131
0.5664411366711772,0.8832345675365226
0.5652937204591492,0.8850072552608398
0.5641509433962264,0.8869226018644785
0.5630127774041694,0.8886825984687774
0.5618791946308724,0.890375590041956
0.560750167448091,0.8922549810349664
0.5596256684491978,0.8941114637942934
0.5585056704469646,0.8957939091986716
0.5573901464713714,0.8975826748245431
0.5562790697674418,0.8994932696248525
0.5551724137931034,0.9012398183976699
0.5540701522170748,0.9029441448583971
0.5529722589167767,0.9048317389664801
0.5518787079762689,0.906673321238775
0.5507894736842105,0.9083549322650514
0.549704530531845,0.910159115073503
0.5486238532110091,0.9120634540370166
0.5475474166121648,0.9137978976576948
0.5464751958224543,0.9155144084335494
0.5454071661237785,0.9174084662773421
0.5443433029908973,0.9192351069391098
0.5432835820895522,0.9209176153498828
0.5422279792746113,0.922736436981745
0.5411764705882353,0.9246331576268964
0.5401290322580644,0.9263568956247689
0.5390856406954282,0.9280862802248224
0.5380462724935732,0.9299850849619429
0.537010904425914,0.9317968963185781
0.5359795134443022,0.9334819478323163
0.5349520766773163,0.9353145239001718
0.5339285714285714,0.9372024033077802
0.5329089751750477,0.9389168827661788
0.5318932655654384,0.9406596776936339
0.5308814204185162,0.9425615417237586
0.5298734177215189,0.9443587805275592
0.5288692356285534,0.9460479327731098
0.5278688524590164,0.9478932827769676
