wavelength(um), dipole power
0.405227, 1.52138
0.40464, 1.52164
0.404054, 1.52197
0.40347, 1.52237
0.402887, 1.52286
0.402307, 1.52344
0.401727, 1.52411
0.40115, 1.52487
0.400574, 1.52572
0.4, 1.52666
