wavelength (microns),Re_eps,Im_eps
0.619124,1.45748,5.68917e-06
0.618713,1.45749,5.6342e-06
0.618302,1.45751,5.57956e-06
0.617893,1.45752,5.52524e-06
0.617483,1.45753,5.47124e-06
0.617075,1.45754,5.41756e-06
0.616667,1.45756,5.36419e-06
0.616259,1.45757,5.31115e-06
0.615852,1.45758,5.25842e-06
0.615446,1.4576,5.20601e-06
0.61504,1.45761,5.15392e-06
0.614634,1.45762,5.10214e-06
0.614229,1.45763,5.05067e-06
0.613825,1.45765,4.99951e-06
0.613421,1.45766,4.94866e-06
0.613018,1.45767,4.89813e-06
0.612615,1.45769,4.8479e-06
0.612213,1.4577,4.79798e-06
0.611811,1.45771,4.74837e-06
0.61141,1.45772,4.69907e-06
0.611009,1.45774,4.65007e-06
0.610609,1.45775,4.60137e-06
0.610209,1.45776,4.55298e-06
0.60981,1.45778,4.50489e-06
0.609412,1.45779,4.4571e-06
0.609014,1.4578,4.40962e-06
0.608616,1.45781,4.36243e-06
0.608219,1.45783,4.31554e-06
0.607823,1.45784,4.26895e-06
0.607427,1.45785,4.22266e-06
0.607031,1.45786,4.17666e-06
0.606636,1.45788,4.13096e-06
0.606242,1.45789,4.08556e-06
0.605848,1.4579,4.04044e-06
0.605455,1.45792,3.99562e-06
0.605062,1.45793,3.95109e-06
0.604669,1.45794,3.90686e-06
0.604277,1.45795,3.86291e-06
0.603886,1.45797,3.81925e-06
0.603495,1.45798,3.77588e-06
0.603105,1.45799,3.7328e-06
0.602715,1.45801,3.69001e-06
0.602326,1.45802,3.6475e-06
0.601937,1.45803,3.60528e-06
0.601548,1.45804,3.56334e-06
0.601161,1.45806,3.52168e-06
0.600773,1.45807,3.48031e-06
0.600386,1.45808,3.43922e-06
0.6,1.4581,3.39841e-06
0.599614,1.45811,3.35788e-06
0.599229,1.45812,3.31763e-06
0.598844,1.45813,3.27766e-06
0.59846,1.45815,3.23797e-06
0.598076,1.45816,3.19855e-06
0.597692,1.45817,3.15942e-06
0.597309,1.45819,3.12055e-06
0.596927,1.4582,3.08196e-06
0.596545,1.45821,3.04365e-06
0.596164,1.45822,3.00561e-06
0.595783,1.45824,2.96784e-06
0.595402,1.45825,2.93034e-06
0.595022,1.45826,2.89311e-06
0.594643,1.45827,2.85616e-06
0.594264,1.45829,2.81947e-06
0.593885,1.4583,2.78306e-06
0.593507,1.45831,2.74691e-06
0.59313,1.45833,2.71102e-06
0.592753,1.45834,2.67541e-06
0.592376,1.45835,2.64006e-06
0.592,1.45836,2.60497e-06
0.591624,1.45838,2.57016e-06
0.591249,1.45839,2.5356e-06
0.590875,1.4584,2.50131e-06
0.5905,1.45842,2.46728e-06
0.590127,1.45843,2.43351e-06
0.589753,1.45844,2.4e-06
0.589381,1.45845,2.36675e-06
0.589262,1.45846,2.35622e-06
0.589008,1.45847,2.33376e-06
0.588636,1.45848,2.30103e-06
0.588265,1.45849,2.26856e-06
0.587894,1.45851,2.23635e-06
0.587561,1.45852,2.2076e-06
0.587524,1.45852,2.20439e-06
0.587154,1.45853,2.17269e-06
0.586784,1.45855,2.14124e-06
0.586415,1.45856,2.11005e-06
0.586047,1.45857,2.07911e-06
0.585678,1.45858,2.04843e-06
0.585311,1.4586,2.018e-06
0.584944,1.45861,1.98782e-06
0.584577,1.45862,1.9579e-06
0.584211,1.45864,1.92822e-06
0.583845,1.45865,1.89879e-06
0.583479,1.45866,1.86962e-06
0.583114,1.45867,1.84069e-06
0.58275,1.45869,1.81201e-06
