wavelength (microns),Re_eps,Im_eps
0.00141,0.99962,9.12e-05
0.001376,0.99964,8.36e-05
0.001343,0.99965,7.69e-05
0.001312,0.99967,7.06e-05
0.001281,0.99968,6.47e-05
0.00125,0.9997,5.92e-05
0.00122,0.99971,5.42e-05
0.001191,0.99973,4.97e-05
0.001162,0.99974,4.54e-05
0.001134,0.99975,4.16e-05
0.001108,0.99976,3.81e-05
0.001081,0.99978,3.48e-05
0.001055,0.99979,3.19e-05
0.00103,0.9998,2.92e-05
0.001005,0.99981,2.67e-05
0.0009816,0.99981,2.45e-05
0.0009581,0.99982,2.24e-05
0.000935,0.99983,2.04e-05
0.0009129,0.99984,1.87e-05
0.0008906,0.99985,1.71e-05
0.0008694,0.99985,1.56e-05
0.0008492,0.99986,1.43e-05
0.0008287,0.99987,1.31e-05
0.0008087,0.99987,1.19e-05
0.0007897,0.99988,1.09e-05
0.0007705,0.99989,9.94e-06
0.0007523,0.99989,9.08e-06
0.0007345,0.9999,8.3e-06
0.0007166,0.9999,7.56e-06
0.0006997,0.99991,6.9e-06
0.0006831,0.99991,6.3e-06
0.0006665,0.99991,1.94e-05
0.0006508,0.99992,1.78e-05
0.0006351,0.99992,1.64e-05
0.0006199,0.99993,1.5e-05
