dipole,angle_deg,intensity
0,-70.0654401288797,0.000360218873426087
0,-60.200362203206545,0.0015498431617738215
0,-52.69820970785311,0.0007973812545479979
0,-46.3143780261149,0.0017248000099204307
0,-40.60394139793171,0.0011331579018607223
0,-35.34598042760074,0.00011617394279716098
0,-30.410933668410827,0.006360329094018311
0,-25.71432122510855,0.0030437411225751943
0,-21.196661680571687,0.0035839189252570235
0,-16.813430948009984,0.0027312619010039646
0,-12.52949389168267,0.0003038881299615398
0,-8.315743834435981,0.0014144287319126177
0,-4.146909464279471,0.00012153390153074107
0,0.0,0.003129258312157087
0,4.146909464279471,0.006303721255309781
0,8.315743834435981,0.002229872378555345
0,12.52949389168267,0.0005514645635428422
0,16.813430948009984,0.0008313911402443373
0,21.196661680571687,0.0011334803152253398
0,25.71432122510855,0.002672430104987753
0,30.410933668410827,0.0032549272869227194
0,35.34598042760074,0.001662507895566271
0,40.60394139793171,0.0020223347149037688
0,46.3143780261149,0.0009403358378668535
0,52.69820970785311,0.0032228980651169714
0,60.200362203206545,0.007329521046011328
0,70.0654401288797,0.002654792468870465
1,-70.0654401288797,0.0007579718816732421
1,-60.200362203206545,0.0036266297037248095
1,-52.69820970785311,0.002674939384020719
1,-46.3143780261149,0.004415294350358234
1,-40.60394139793171,0.00501142207418498
1,-35.34598042760074,0.004469810601200793
1,-30.410933668410827,0.0010284454912569338
1,-25.71432122510855,0.0009140693915892858
1,-21.196661680571687,0.0008448047179387173
1,-16.813430948009984,0.0011577700815556225
1,-12.52949389168267,0.0012560302116558673
1,-8.315743834435981,0.00011623483931866173
1,-4.146909464279471,0.004462563787853458
1,0.0,0.004255296139949674
1,4.146909464279471,0.0008308084025801731
1,8.315743834435981,0.0017194072316331806
1,12.52949389168267,0.0008708117207818177
1,16.813430948009984,0.0018359553345408627
1,21.196661680571687,0.000540007667031096
1,25.71432122510855,0.0016023524911326728
1,30.410933668410827,0.0033586426957867635
1,35.34598042760074,0.0029034650561727744
1,40.60394139793171,0.002304788831690389
1,46.3143780261149,0.002964204542559369
1,52.69820970785311,0.009361347519071167
1,60.200362203206545,0.0036434331708725446
1,70.0654401288797,0.004267470680815249
2,-70.0654401288797,0.0003053183441417035
2,-60.200362203206545,0.004874041369053742
2,-52.69820970785311,0.006293420097118905
2,-46.3143780261149,0.005448759631645388
2,-40.60394139793171,0.0007120283345675109
2,-35.34598042760074,0.006718010137406644
2,-30.410933668410827,0.0033122188238874236
2,-25.71432122510855,0.002608042255539915
2,-21.196661680571687,0.0003033702386655075
2,-16.813430948009984,0.0012054252516066693
2,-12.52949389168267,0.0008102273409820338
2,-8.315743834435981,0.0022539135173110306
2,-4.146909464279471,0.0017631006927342856
2,0.0,0.002288006032025644
2,4.146909464279471,0.0017631006927342856
2,8.315743834435981,0.00225391351731103
2,12.52949389168267,0.0008102273409820331
2,16.813430948009984,0.00120542525160667
2,21.196661680571687,0.0003033702386655079
2,25.71432122510855,0.002608042255539916
2,30.410933668410827,0.0033122188238874244
2,35.34598042760074,0.006718010137406642
2,40.60394139793171,0.0007120283345675115
2,46.3143780261149,0.005448759631645388
2,52.69820970785311,0.0062934200971189
2,60.200362203206545,0.004874041369053742
2,70.0654401288797,0.000305318344141703
3,-70.0654401288797,0.004267470680815228
3,-60.200362203206545,0.003643433170872479
3,-52.69820970785311,0.009361347519071181
3,-46.3143780261149,0.002964204542559388
3,-40.60394139793171,0.002304788831690394
3,-35.34598042760074,0.0029034650561727583
3,-30.410933668410827,0.0033586426957867674
3,-25.71432122510855,0.0016023524911326617
3,-21.196661680571687,0.0005400076670310916
3,-16.813430948009984,0.0018359553345408679
3,-12.52949389168267,0.000870811720781811
3,-8.315743834435981,0.001719407231633183
3,-4.146909464279471,0.0008308084025801719
3,0.0,0.004255296139949657
3,4.146909464279471,0.004462563787853447
3,8.315743834435981,0.00011623483931866398
3,12.52949389168267,0.001256030211655861
3,16.813430948009984,0.001157770081555615
3,21.196661680571687,0.0008448047179387239
3,25.71432122510855,0.0009140693915892785
3,30.410933668410827,0.0010284454912569418
3,35.34598042760074,0.004469810601200775
3,40.60394139793171,0.005011422074184994
3,46.3143780261149,0.004415294350358185
3,52.69820970785311,0.0026749393840207435
3,60.200362203206545,0.003626629703724822
3,70.0654401288797,0.0007579718816732322
4,-70.0654401288797,0.002654792468870465
4,-60.200362203206545,0.007329521046011325
4,-52.69820970785311,0.0032228980651169705
4,-46.3143780261149,0.0009403358378668532
4,-40.60394139793171,0.0020223347149037675
4,-35.34598042760074,0.0016625078955662728
4,-30.410933668410827,0.003254927286922717
4,-25.71432122510855,0.0026724301049877506
4,-21.196661680571687,0.0011334803152253405
4,-16.813430948009984,0.000831391140244336
4,-12.52949389168267,0.0005514645635428415
4,-8.315743834435981,0.0022298723785553467
4,-4.146909464279471,0.006303721255309779
4,0.0,0.003129258312157087
4,4.146909464279471,0.00012153390153074107
4,8.315743834435981,0.001414428731912618
4,12.52949389168267,0.0003038881299615404
4,16.813430948009984,0.002731261901003965
4,21.196661680571687,0.003583918925257026
4,25.71432122510855,0.003043741122575195
4,30.410933668410827,0.006360329094018311
4,35.34598042760074,0.00011617394279716109
4,40.60394139793171,0.0011331579018607227
4,46.3143780261149,0.0017248000099204307
4,52.69820970785311,0.0007973812545479977
4,60.200362203206545,0.0015498431617738204
4,70.0654401288797,0.00036021887342608654
