Wavelength (μm),Power (W)
9.999999999999991,-7.453146753307608e-10
7.499999999999996,-6.702914332884074e-10
5.999999999999997,-4.4590802928982594e-09
4.999999999999997,1.6215024462701132e-08
4.285714285714284,-1.4944275019870336e-09
3.749999999999999,2.856826531354475e-08
3.333333333333332,6.494686998053435e-08
2.999999999999999,1.105821950428295e-07
2.7272727272727266,2.7973779118687947e-07
2.4999999999999996,4.103757634116695e-07
2.3076923076923075,7.442515220936811e-07
2.1428571428571423,1.3088148329336845e-06
1.9999999999999996,2.0600027399004744e-06
1.8749999999999996,3.50670088507824e-06
1.764705882352941,5.505214639954887e-06
1.6666666666666665,8.630713439825145e-06
1.5789473684210524,1.3508883857929676e-05
1.4999999999999998,2.0276022251879037e-05
1.4285714285714284,3.059782455868663e-05
1.3636363636363635,4.5146127127564434e-05
1.3043478260869565,6.552682711510382e-05
1.25,9.4521198106824e-05
1.2,0.0001335210923805991
1.1538461538461537,0.0001869382489734375
1.111111111111111,0.0002584087745116504
1.0714285714285712,0.00035199460972652286
1.0344827586206895,0.00047521325699923834
1.0,0.0006327708343253148
0.9677419354838709,0.0008334329256982304
0.9374999999999998,0.0010863361920686238
0.9090909090909091,0.0013986150821708571
0.8823529411764706,0.0017833209180242505
0.8571428571428571,0.0022486588154681897
0.8333333333333333,0.00280523339887367
0.8108108108108107,0.003465664825809171
0.7894736842105262,0.004235248416978045
0.7692307692307692,0.005125551587013013
0.7499999999999999,0.006141214808830422
0.7317073170731707,0.007283351270902491
0.7142857142857142,0.008556695436713677
0.6976744186046512,0.009952283369050989
0.6818181818181818,0.01146481914164054
0.6666666666666666,0.013082753860046476
0.6521739130434783,0.0147837069719601
0.6382978723404256,0.016551792156442546
0.625,0.0183558831271651
0.6122448979591837,0.020165819673028402
0.6,0.021952296865236604
0.588235294117647,0.023672769032668302
0.5769230769230769,0.02529652746151679
0.5660377358490566,0.026785135650540016
0.5555555555555556,0.02810090278905844
0.5454545454545454,0.029218637592026947
0.5357142857142857,0.030104103623861848
0.5263157894736842,0.030738894580954405
0.5172413793103449,0.03110851737259299
0.5084745762711864,0.031198731246288046
0.5,0.031014776255214902
0.49180327868852464,0.03055774631273551
0.48387096774193555,0.02984089763392882
0.47619047619047616,0.028887326902716993
0.46875,0.027715958555768833
0.46153846153846156,0.026361203559821716
0.45454545454545453,0.02485406025481476
0.44776119402985076,0.02322716848565879
0.4411764705882353,0.0215206249802893
0.4347826086956521,0.019764823359594917
0.42857142857142855,0.01799555130886234
0.4225352112676056,0.016244264411372545
0.4166666666666667,0.014535265614627386
0.410958904109589,0.012895725036610125
0.4054054054054054,0.011342309033591179
0.4,0.009890052841538877
0.39473684210526316,0.008551125280904277
0.3896103896103896,0.0073291823600916
0.3846153846153846,0.00622893651276377
0.379746835443038,0.0052489227716497515
0.375,0.004384882509272789
0.37037037037037035,0.003632785076419064
0.36585365853658536,0.00298368151229846
0.3614457831325301,0.0024299102160494222
0.3571428571428571,0.0019625113081716346
0.3529411764705882,0.001571179995569891
0.3488372093023256,0.0012476456209613654
0.3448275862068966,0.0009822590552893244
0.3409090909090909,0.0007666954341912913
0.33707865168539325,0.0005936463125615653
0.3333333333333333,0.0004555579386326625
0.32967032967032966,0.00034676204682824904
0.32608695652173914,0.00026175292722560985
0.3225806451612903,0.0001958091482770983
0.3191489361702128,0.00014537446754977256
0.31578947368421056,0.00010694633084275537
0.3125,7.802546312176334e-05
0.30927835051546393,5.649467080786904e-05
0.30612244897959184,4.050252394165036e-05
0.303030303030303,2.8842203443903765e-05
0.3,2.0355260310162447e-05
0.297029702970297,1.4233546047743401e-05
0.29411764705882354,9.898565197510653e-06
