wavelength,net_power
0.6999999999999998,0.006470756747173279
0.6982485404503752,0.006570612583598409
0.6965058236272876,0.006671473206493816
0.6947717842323651,0.006772984550792813
0.693046357615894,0.006875076769456142
0.691329479768786,0.0069780304819353905
0.6896210873146621,0.0070821640638419475
0.6879211175020541,0.007187477190409701
0.6862295081967212,0.007293636508073898
0.68454619787408,0.007400322190492029
0.6828711256117453,0.0075075633626783995
0.6812042310821805,0.007615699245377125
0.6795454545454543,0.007725005187955759
0.6778947368421052,0.00783538584866296
0.6762520193861066,0.007946467921666514
0.674617244157937,0.00805799435171048
0.6729903536977491,0.008170094701515763
0.6713712910986367,0.008283137790587574
0.6697599999999999,0.008397323839945743
0.6681564245810054,0.00851245730207523
0.66656050955414,0.00862814893324605
0.664972200158856,0.008744231576257436
0.663391442155309,0.00886093993383487
0.6618181818181817,0.008978656529677472
0.6602523659305992,0.009097495052108613
0.6586939417781273,0.00921717140012411
0.657142857142857,0.009337304978513594
0.6555990602975724,0.009457827475917585
0.6540624999999999,0.00957905671717979
0.6525331254871394,0.009701352150980082
0.6510108864696733,0.009824721378251591
0.6494957331264545,0.009948803897974071
0.6479876160990712,0.010073253807704522
0.6464864864864864,0.01019811144193987
0.6449922958397534,0.010323762060421914
0.6435049961568023,0.01045052263430399
0.6420245398773006,0.01057829990593482
0.6405508798775822,0.010706689110481818
0.6390839694656488,0.01083540942259183
0.6376237623762375,0.010964608152101861
0.6361702127659573,0.01109470491401766
0.6347232752084911,0.011225941914227813
0.6332829046898638,0.01135812439312708
0.6318490566037736,0.011490831888087409
0.6304216867469878,0.011623873620822648
0.6290007513148008,0.011757496842629308
0.6275862068965516,0.011892122265713847
0.6261780104712041,0.01202789128963732
0.6247761194029849,0.012164514598586433
0.6233804914370811,0.01230158784972336
0.6219910846953937,0.01243903528081398
0.6206078576723497,0.012577201298275675
0.6192307692307691,0.012716487631284853
0.6178597785977858,0.012856924153378694
0.6164948453608247,0.012998135702270704
0.6151359294636296,0.013139743180854712
0.613782991202346,0.013281770407456466
0.6124359912216532,0.01342462156898861
0.6110948905109488,0.013568655411950008
0.6097596504005826,0.01371381467078493
0.6084302325581394,0.013859706928222183
0.6071065989847715,0.01400604429665818
0.6057887120115774,0.014152962691469602
0.6044765342960288,0.014300874886581959
0.6031700288184437,0.01445001981491482
0.6018691588785047,0.014600202085371227
0.600573888091822,0.014751009645683936
0.5992841803865425,0.01490227602526296
0.598,0.015054282829962923
0.5967213114754097,0.015207475167057116
0.5954480796586059,0.015361991006847833
0.594180269694819,0.015517513009759605
0.5929178470254957,0.015673609167400362
0.591660777385159,0.015830201961532495
0.5904090267983074,0.015987662858189262
0.5891625615763546,0.016146427545320315
0.5879213483146067,0.016306541379570792
0.5866853538892781,0.016467620981634547
0.5854545454545453,0.016629272830043028
0.584228890439637,0.01679152041598972
0.583008356545961,0.0169547838097037
0.5817929117442668,0.017119437202045885
0.5805825242718446,0.017285422247089365
0.5793771626297577,0.017452331358909706
0.5781767955801105,0.01761986582802002
0.5769813921433494,0.017788169543559093
0.5757909215955983,0.017957676543380235
0.574605353466026,0.018128639954077593
0.5734246575342465,0.018300857302945377
0.5722488038277511,0.01847389531439969
0.5710777626193724,0.0186475742696263
0.5699115044247787,0.018822185953670745
0.56875,0.018998202408084197
0.567593220338983,0.019175782198807747
0.5664411366711772,0.0193546036859853
0.5652937204591492,0.019534207829326838
0.5641509433962264,0.01971448739928252
0.5630127774041694,0.019895801832034904
0.5618791946308724,0.020078597639539397
0.560750167448091,0.020262942872353577
0.5596256684491978,0.020448472754592124
0.5585056704469646,0.020634798484697167
0.5573901464713714,0.020821933134127744
0.5562790697674418,0.02101027404274043
0.5551724137931034,0.0212001637960535
0.5540701522170748,0.02139150885893135
0.5529722589167767,0.021583872057978896
0.5518787079762689,0.02177694079899188
0.5507894736842105,0.021970864063993595
0.549704530531845,0.022166091071356912
0.5486238532110091,0.022362882964268773
0.5475474166121648,0.02256102407856466
0.5464751958224543,0.02276004597172452
0.5454071661237785,0.02295972402141678
0.5443433029908973,0.023160310026279225
0.5432835820895522,0.02336224636082418
0.5422279792746113,0.023565665887115353
0.5411764705882353,0.02377021562733736
0.5401290322580644,0.023975397883089132
0.5390856406954282,0.024181068325614966
0.5380462724935732,0.024387560989877665
0.537010904425914,0.024595306977062158
0.5359795134443022,0.024804351593130734
0.5349520766773163,0.025014278643858495
0.5339285714285714,0.02522461287501998
0.5329089751750477,0.025435264278599448
0.5318932655654384,0.025646543358866757
0.5308814204185162,0.025858744952177114
0.5298734177215189,0.026071760625380414
0.5288692356285534,0.02628513929253919
0.5278688524590164,0.026498522505423065
0.5268722466960352,0.026711972950861623
0.5258793969849246,0.026925833504467162
0.5248902821316614,0.027140267967945334
0.5239048811013767,0.027354983784893372
0.5229231730168644,0.027569441877363737
0.5219451371571072,0.027783330572853683
0.5209707529558182,0.02799679214507164
0.5199999999999999,0.02821015533620267
0.5190328580285183,0.02842346004568374
0.5180693069306931,0.02863628537012492
0.5171093267449042,0.02884806567998277
0.5161528976572133,0.029058553434741376
0.5152,0.029267929599346862
0.5142506142506142,0.029476443181716414
0.5133047210300429,0.029683969820481694
0.5123623011015911,0.029889967038274616
0.5114233353695784,0.03009387617995147
0.5104878048780487,0.030295539194074503
0.5095556908094948,0.030495181546473786
0.5086269744835965,0.030692978725183
0.5077016373559733,0.030888671113947146
0.5067796610169492,0.031081639688492264
0.5058610271903323,0.03127136037461459
0.5049457177322074,0.03145775021057712
0.5040337146297411,0.03164103717596439
