Wavelength (μm),LDOS Power (a.u.)
0.6999999999999998,0.7154676796161924
0.6982485404503752,0.7172931278436406
0.6965058236272876,0.7191294542968424
0.6947717842323651,0.7209382446124117
0.693046357615894,0.722711214686578
0.691329479768786,0.7244785225062667
0.6896210873146621,0.7262758612852289
0.6879211175020541,0.7281062227732412
0.6862295081967212,0.7299372761844728
0.68454619787408,0.7317365371897698
0.6828711256117453,0.7335060890282947
0.6812042310821805,0.7352797618279195
0.6795454545454543,0.7370864312452704
0.6778947368421052,0.7389192385543722
0.6762520193861066,0.7407435275066426
0.674617244157937,0.7425343612157359
0.6729903536977491,0.7443030222246387
0.6713712910986367,0.7460843524067627
0.6697599999999999,0.7478991140365977
0.6681564245810054,0.7497320205339518
0.66656050955414,0.7515486690425326
0.664972200158856,0.753332640735035
0.663391442155309,0.7551027752385849
0.6618181818181817,0.7568924641489809
0.6602523659305992,0.7587137086148465
0.6586939417781273,0.7605446186193953
0.657142857142857,0.7623533570172976
0.6555990602975724,0.7641323536072671
0.6540624999999999,0.7659060353169664
0.6525331254871394,0.7677042085415642
0.6510108864696733,0.7695300885707592
0.6494957331264545,0.7713572586718118
0.6479876160990712,0.7731583798103754
0.6464864864864864,0.7749344630628988
0.6449922958397534,0.7767133755777303
0.6435049961568023,0.7785196281169047
0.6420245398773006,0.7803481907288072
0.6405508798775822,0.7821703000761863
0.6390839694656488,0.7839645868751421
0.6376237623762375,0.7857398499054019
0.6361702127659573,0.7875252178583425
0.6347232752084911,0.7893386840517025
0.6332829046898638,0.7911679952882366
0.6318490566037736,0.7929841845242834
0.6304216867469878,0.7947728157987658
0.6290007513148008,0.7965492503979519
0.6275862068965516,0.7983418022408947
0.6261780104712041,0.8001612447550168
0.6247761194029849,0.8019895015016745
0.6233804914370811,0.8037993816586737
0.6219910846953937,0.8055838236181915
0.6206078576723497,0.807363204774599
0.6192307692307691,0.8091631666556047
0.6178597785977858,0.8109870785583639
0.6164948453608247,0.8128127032212987
0.6151359294636296,0.8146163372924861
0.613782991202346,0.8163982281478136
0.6124359912216532,0.8181820207520941
0.6110948905109488,0.8199891395248187
0.6097596504005826,0.8218158534192467
0.6084302325581394,0.8236375684545019
0.6071065989847715,0.8254354294293669
0.6057887120115774,0.8272164642026685
0.6044765342960288,0.8290057553949234
0.6031700288184437,0.8308193475522505
0.6018691588785047,0.8326471459026205
0.600573888091822,0.8344640263906643
0.5992841803865425,0.8362569362958581
0.598,0.838038758253817
0.5967213114754097,0.8398342172771833
0.5954480796586059,0.8416532395458755
0.594180269694819,0.8434804606779649
0.5929178470254957,0.8452919642474688
0.591660777385159,0.8470810191799739
0.5904090267983074,0.8488651233558739
0.5891625615763546,0.8506669891890266
0.5879213483146067,0.852490125698517
0.5866853538892781,0.8543152604735483
0.5854545454545453,0.856121234889269
0.584228890439637,0.8579077211677729
0.583008356545961,0.8596953742899571
0.5817929117442668,0.8615034698204538
0.5805825242718446,0.8633292301905097
0.5793771626297577,0.8651510050134887
0.5781767955801105,0.8669516746285701
0.5769813921433494,0.8687369810736238
0.5757909215955983,0.8705291609436353
0.574605353466026,0.8723429310870855
0.5734246575342465,0.8741697534815388
0.5722488038277511,0.8759871960951354
0.5710777626193724,0.8777831291280966
0.5699115044247787,0.8795686601526683
0.56875,0.8813660162009984
0.567593220338983,0.8831845862230364
