Wavelength (μm),Power (W)
0.6999999999999998,0.009745664196481532
0.6982485404503752,0.009901464767705963
0.6965058236272876,0.01005858034904405
0.6947717842323651,0.010216940377120112
0.693046357615894,0.010376489788437644
0.691329479768786,0.010537196319338164
0.6896210873146621,0.01069905382334847
0.6879211175020541,0.010862080997051337
0.6862295081967212,0.011026315694380933
0.68454619787408,0.011191805773856905
0.6828711256117453,0.011358598030911366
0.6812042310821805,0.011526727111786613
0.6795454545454543,0.011696206324595664
0.6778947368421052,0.011867021950950608
0.6762520193861066,0.01203913206957091
0.674617244157937,0.012212470131324302
0.6729903536977491,0.01238695270576139
0.6713712910986367,0.012562490093483663
0.6697599999999999,0.012738997993122876
0.6681564245810054,0.012916408215481973
0.66656050955414,0.013094676586815865
0.664972200158856,0.013273786655103868
0.663391442155309,0.013453748528267888
0.6618181818181817,0.013634593009782014
0.6602523659305992,0.013816362010982457
0.6586939417781273,0.013999096870001362
0.657142857142857,0.014182826580503615
0.6555990602975724,0.014367557963140416
0.6540624999999999,0.014553269490989987
0.6525331254871394,0.014739909860738703
0.6510108864696733,0.01492740158880178
0.6494957331264545,0.015115649045435862
0.6479876160990712,0.015304549569479816
0.6464864864864864,0.015494005765529131
0.6449922958397534,0.015683936869134114
0.6435049961568023,0.015874287213448652
0.6420245398773006,0.016065030319284128
0.6405508798775822,0.016256167877560526
0.6390839694656488,0.016447723770847845
0.6376237623762375,0.01663973413836857
0.6361702127659573,0.01683223517792444
0.6347232752084911,0.017025250778714186
0.6332829046898638,0.017218782119972492
0.6318490566037736,0.01741280104284615
0.6304216867469878,0.017607248361245748
0.6290007513148008,0.017802037431088075
0.6275862068965516,0.017997062391186522
0.6261780104712041,0.01819220967973316
0.6247761194029849,0.01838737085774193
0.6233804914370811,0.018582454535606665
0.6219910846953937,0.01877739534295945
0.6206078576723497,0.018972158382541512
0.6192307692307691,0.019166738380972326
0.6178597785977858,0.019361153660871367
0.6164948453608247,0.019555435953174726
0.6151359294636296,0.01974961779084896
0.613782991202346,0.01994371965016319
0.6124359912216532,0.02013773905852265
0.6110948905109488,0.020331643557800462
0.6097596504005826,0.020525368754682832
0.6084302325581394,0.02071882181686909
0.6071065989847715,0.020911889835911326
0.6057887120115774,0.021104451635874915
0.6044765342960288,0.0212963910073374
0.6031700288184437,0.021487609093256966
0.6018691588785047,0.02167803379149991
0.600573888091822,0.021867624546119745
0.5992841803865425,0.022056371689447102
0.598,0.022244290433968254
0.5967213114754097,0.022431410536059623
0.5954480796586059,0.022617763403082823
0.594180269694819,0.0228033688613793
0.5929178470254957,0.022988223867684086
0.591660777385159,0.023172295117586984
0.5904090267983074,0.023355516838184907
0.5891625615763546,0.02353779416153818
0.5879213483146067,0.023719011514573406
0.5866853538892781,0.023899044594875636
0.5854545454545453,0.024077773880466922
0.584228890439637,0.02425509735266428
0.583008356545961,0.02443094024183273
0.5817929117442668,0.02460526011448857
0.5805825242718446,0.024778046419890582
0.5793771626297577,0.024949314567414404
0.5781767955801105,0.025119095548764406
0.5769813921433494,0.025287422888446806
0.5757909215955983,0.02545431916921315
0.574605353466026,0.02561978445585918
0.5734246575342465,0.025783788616888605
0.5722488038277511,0.025946268874736476
0.5710777626193724,0.026107133016065917
0.5699115044247787,0.02626626771905555
0.56875,0.026423550572590746
0.567593220338983,0.026578863724900828
0.5664411366711772,0.026732106816720384
0.5652937204591492,0.026883206975463928
0.5641509433962264,0.027032124151511277
0.5630127774041694,0.027178850878885646
0.5618791946308724,0.027323406502236088
0.560750167448091,0.027465826865057063
0.5596256684491978,0.02760615123581012
0.5585056704469646,0.027744408724601145
0.5573901464713714,0.027880606531066877
0.5562790697674418,0.028014722048800202
0.5551724137931034,0.028146700187562376
0.5540701522170748,0.028276456376043202
0.5529722589167767,0.028403884729703944
0.5518787079762689,0.0285288699794373
0.5507894736842105,0.028651301109791454
0.549704530531845,0.02877108436234904
0.5486238532110091,0.028888153370489854
0.5475474166121648,0.029002474687000585
0.5464751958224543,0.02911404776031827
0.5454071661237785,0.029222899371302034
0.5443433029908973,0.029329073495797664
0.5432835820895522,0.029432618344288796
0.5422279792746113,0.02953357281367532
0.5411764705882353,0.02963195468464119
0.5401290322580644,0.02972775259446909
0.5390856406954282,0.029820923162792154
0.5380462724935732,0.02991139375900373
0.537010904425914,0.029999070428664575
0.5359795134443022,0.03008384960944414
0.5349520766773163,0.030165631617632065
0.5339285714285714,0.03024433358534137
0.5329089751750477,0.030319899627417695
0.5318932655654384,0.03039230649807321
0.5308814204185162,0.030461563776500857
0.5298734177215189,0.03052770856374564
0.5288692356285534,0.030590795616931742
0.5278688524590164,0.030650884629221237
0.5268722466960352,0.03070802685033176
0.5258793969849246,0.03076225335006589
0.5248902821316614,0.03081356693847244
0.5239048811013767,0.030861939121974893
0.5229231730168644,0.030907312604914774
0.5219451371571072,0.030949608891051878
0.5209707529558182,0.030988739664105435
0.5199999999999999,0.031024619980922315
0.5190328580285183,0.03105718100560249
0.5180693069306931,0.03108638009926707
0.5171093267449042,0.031112206542108965
0.5161528976572133,0.031134681921100256
0.5152,0.03115385513685053
0.5142506142506142,0.03116979290804338
0.5133047210300429,0.0311825674221698
0.5123623011015911,0.03119224326526078
0.5114233353695784,0.0311988658786731
0.5104878048780487,0.031202453519336242
0.5095556908094948,0.031202994089737587
0.5086269744835965,0.03120044736121968
0.5077016373559733,0.031194752185259158
0.5067796610169492,0.031185837432168698
0.5058610271903323,0.031173634761723475
0.5049457177322074,0.031158091024316957
0.5040337146297411,0.0311391781647089
