lambda, Y
4.45319e-07, 1.87495
4.4461e-07, 1.87975
4.43902e-07, 1.88468
4.43197e-07, 1.88978
4.42495e-07, 1.89506
4.41794e-07, 1.90052
4.41096e-07, 1.90614
4.404e-07, 1.91189
4.39706e-07, 1.91774
4.39014e-07, 1.92371
4.38325e-07, 1.92982
4.37637e-07, 1.9361
4.36952e-07, 1.94257
4.36269e-07, 1.94921
4.35588e-07, 1.95602
4.34909e-07, 1.96294
4.34232e-07, 1.96998
4.33558e-07, 1.97712
4.32885e-07, 1.9844
4.32215e-07, 1.99185
4.31546e-07, 1.99947
4.3088e-07, 2.00726
4.30216e-07, 2.01519
4.29554e-07, 2.02323
4.28893e-07, 2.03135
4.28235e-07, 2.03957
4.27579e-07, 2.04789
4.26925e-07, 2.05636
4.26273e-07, 2.06497
4.25623e-07, 2.07372
4.24975e-07, 2.08256
4.24328e-07, 2.09147
4.23684e-07, 2.10042
4.23042e-07, 2.10941
4.22402e-07, 2.11846
4.21763e-07, 2.1276
4.21127e-07, 2.13683
4.20492e-07, 2.14613
4.1986e-07, 2.15545
4.19229e-07, 2.16476
4.186e-07, 2.17404
4.17973e-07, 2.18329
4.17348e-07, 2.19252
4.16725e-07, 2.20174
4.16103e-07, 2.21097
4.15484e-07, 2.22018
4.14866e-07, 2.22931
4.1425e-07, 2.23834
4.13636e-07, 2.24724
4.13024e-07, 2.25601
4.12414e-07, 2.26466
4.11805e-07, 2.27321
4.11198e-07, 2.28167
4.10593e-07, 2.29001
4.0999e-07, 2.29819
4.09389e-07, 2.30616
4.08789e-07, 2.31391
4.08191e-07, 2.32145
4.07595e-07, 2.3288
4.07e-07, 2.33598
4.06408e-07, 2.343
4.05817e-07, 2.34983
4.05227e-07, 2.35645
4.0464e-07, 2.36283
4.04054e-07, 2.36895
4.0347e-07, 2.37483
4.02887e-07, 2.3805
4.02307e-07, 2.38601
4.01727e-07, 2.39137
4.0115e-07, 2.39656
4.00574e-07, 2.40156
4e-07, 2.40637

