lambda, Y
4.75682e-07, 1.22585e-08
4.74872e-07, 1.23213e-08
4.74066e-07, 1.23843e-08
4.73262e-07, 1.24475e-08
4.7246e-07, 1.25109e-08
4.71662e-07, 1.25746e-08
4.70866e-07, 1.26384e-08
4.70073e-07, 1.27025e-08
4.69283e-07, 1.27668e-08
4.68495e-07, 1.28313e-08
4.67709e-07, 1.28961e-08
4.66927e-07, 1.2961e-08
4.66147e-07, 1.30262e-08
4.6537e-07, 1.30916e-08
4.64595e-07, 1.31572e-08
4.63823e-07, 1.3223e-08
4.63053e-07, 1.3289e-08
4.62286e-07, 1.33553e-08
4.61521e-07, 1.34218e-08
4.60759e-07, 1.34885e-08
4.6e-07, 1.35554e-08
4.59243e-07, 1.36225e-08
4.58488e-07, 1.36899e-08
4.57736e-07, 1.37575e-08
4.56987e-07, 1.38253e-08
4.5624e-07, 1.38933e-08
4.55495e-07, 1.39616e-08
4.54753e-07, 1.40301e-08
4.54013e-07, 1.40988e-08
4.53276e-07, 1.41677e-08
4.52541e-07, 1.42368e-08
4.51808e-07, 1.43062e-08
4.51078e-07, 1.43758e-08
4.5035e-07, 1.44456e-08
4.49624e-07, 1.45157e-08
4.48901e-07, 1.4586e-08
4.4818e-07, 1.46565e-08
4.47461e-07, 1.47272e-08
4.46745e-07, 1.47981e-08
4.46031e-07, 1.48693e-08
4.45319e-07, 1.49407e-08
4.4461e-07, 1.50124e-08
4.43902e-07, 1.50842e-08
4.43197e-07, 1.51563e-08
4.42495e-07, 1.52287e-08
4.41794e-07, 1.53012e-08
4.41096e-07, 1.5374e-08
4.404e-07, 1.5447e-08
4.39706e-07, 1.55203e-08
4.39014e-07, 1.55937e-08
4.38325e-07, 1.56675e-08
4.37637e-07, 1.57414e-08
4.36952e-07, 1.58156e-08
4.36269e-07, 1.589e-08
4.35588e-07, 1.59646e-08
4.34909e-07, 1.60395e-08
4.34232e-07, 1.61146e-08
4.33558e-07, 1.61899e-08
4.32885e-07, 1.62655e-08
4.32215e-07, 1.63413e-08
4.31546e-07, 1.64174e-08
4.3088e-07, 1.64936e-08
4.30216e-07, 1.65702e-08
4.29554e-07, 1.66469e-08
4.28893e-07, 1.67239e-08
4.28235e-07, 1.68011e-08
4.27579e-07, 1.68786e-08
4.26925e-07, 1.69563e-08
4.26273e-07, 1.70342e-08
4.25623e-07, 1.71124e-08
4.24975e-07, 1.71908e-08
4.24328e-07, 1.72695e-08
4.23684e-07, 1.73484e-08
4.23042e-07, 1.74275e-08
4.22402e-07, 1.75069e-08
4.21763e-07, 1.75865e-08
4.21127e-07, 1.76664e-08
4.20492e-07, 1.77465e-08
4.1986e-07, 1.78268e-08
4.19229e-07, 1.79074e-08
4.186e-07, 1.79882e-08
4.17973e-07, 1.80693e-08
4.17348e-07, 1.81506e-08
4.16725e-07, 1.82322e-08
4.16103e-07, 1.8314e-08
4.15484e-07, 1.8396e-08
4.14866e-07, 1.84783e-08
