Wavelength (μm),Power (W)
0.6999999999999998,0.00974565199421206
0.6982543640897755,0.009900934643270916
0.6965174129353233,0.010057523552349908
0.694789081885856,0.010215348221696358
0.693069306930693,0.010374353529286097
0.691358024691358,0.010534507015290734
0.689655172413793,0.010695802235273423
0.6879606879606879,0.010858257571466714
0.6862745098039215,0.01102191066649285
0.6845965770171148,0.011186809397485535
0.6829268292682925,0.011353000910744596
0.6812652068126519,0.011520520583149346
0.6796116504854367,0.011689382804728527
0.6779661016949151,0.011859575179657252
0.6763285024154588,0.012031057168883722
0.6746987951807227,0.01220376344301161
0.6730769230769229,0.012377611407266766
0.671462829736211,0.01255251163965548
0.6698564593301435,0.01272837947337235
0.6682577565632457,0.01290514574434913
0.6666666666666665,0.013082764853214156
0.6650831353919239,0.01326121873811286
0.6635071090047393,0.013440516046570889
0.6619385342789598,0.013620686613638031
0.660377358490566,0.013801772160258368
0.6588235294117646,0.013983814781286855
0.6572769953051643,0.014166845183205039
0.6557377049180327,0.014350872688334397
0.6542056074766354,0.01453587873313292
0.6526806526806526,0.014721815000268122
0.6511627906976742,0.014908606536639401
0.6496519721577725,0.015096159356199118
0.648148148148148,0.015284371253643417
0.6466512702078521,0.015473143995858066
0.6451612903225805,0.015662394810104924
0.6436781609195401,0.01585206519559596
0.6422018348623852,0.016042125532340145
0.6407322654462242,0.016232574672927484
0.639269406392694,0.01642343455897944
0.6378132118451024,0.01661474075772879
0.6363636363636362,0.016806530519428504
0.6349206349206349,0.016998830390682305
0.6334841628959276,0.01719164550647659
0.6320541760722347,0.01738495240748985
0.6306306306306306,0.01757869663469156
0.6292134831460674,0.017772795540597623
0.6278026905829596,0.017967145864206023
0.6263982102908277,0.018161634797425052
0.625,0.018356152665580217
0.6236080178173719,0.018550605058536923
0.6222222222222221,0.018744922332594262
0.6208425720620842,0.01893906484422418
0.6194690265486724,0.019133023000819243
0.6181015452538631,0.019326812098044825
0.6167400881057268,0.019520462807186296
0.6153846153846153,0.019714008925359943
0.6140350877192982,0.019907474477928535
0.612691466083151,0.020100862382367878
0.611353711790393,0.020294146624544603
0.6100217864923747,0.020487269304390873
0.608695652173913,0.02068014307886807
0.6073752711496746,0.020872658607308848
0.606060606060606,0.021064695745485293
0.6047516198704104,0.02125613658779509
0.603448275862069,0.021446878133449566
0.6021505376344086,0.021636842409139174
0.6008583690987124,0.021825982309113458
0.5995717344753746,0.022014282141466446
0.5982905982905982,0.022201752773198188
0.5970149253731343,0.022388422191553164
0.5957446808510637,0.02257432308686683
0.5944798301486198,0.02275947957723707
0.5932203389830508,0.022943895348348786
0.5919661733615221,0.02312754524582312
0.590717299578059,0.023310371771594323
0.5894736842105263,0.023492287099703708
0.588235294117647,0.023673180283184023
0.5870020964360586,0.02385292843387543
0.5857740585774058,0.02403140997385942
0.5845511482254697,0.02420851769807888
0.5833333333333333,0.02438416941527549
0.582120582120582,0.024558314344286153
0.5809128630705394,0.0247309341659476
0.5797101449275363,0.024902038543885518
0.5785123966942148,0.02507165587394655
0.5773195876288659,0.025239820840355386
0.5761316872427983,0.02540656090583855
0.5749486652977412,0.025571884048835775
0.5737704918032787,0.02573576985082139
0.5725971370143148,0.025898165466247073
0.5714285714285714,0.026058987173985627
0.570264765784114,0.0262181272546947
0.5691056910569106,0.026375465026869993
0.5679513184584178,0.026530880161499088
0.5668016194331983,0.026684266003569917
0.5656565656565656,0.02683554062574992
0.564516129032258,0.026984653725720953
0.5633802816901408,0.027131588188750562
0.5622489959839357,0.027276356048897218
0.561122244488978,0.02741898954043929
0.5599999999999999,0.027559528771204083
0.5588822355289421,0.02769800812762772
0.5577689243027888,0.027834443738649774
0.5566600397614313,0.027968824144528198
0.5555555555555555,0.028101105768437086
0.5544554455445544,0.028231213967041816
0.5533596837944663,0.02835904948186249
0.5522682445759368,0.028484499189701036
0.5511811023622046,0.028607449315474147
0.5500982318271119,0.02872779885067328
0.5490196078431372,0.02884547088657817
0.547945205479452,0.028960419929543374
0.546875,0.029072633953911162
0.5458089668615984,0.029182130848965215
0.5447470817120622,0.029288949875060782
0.5436893203883495,0.02939313959665089
0.5426356589147286,0.02949474436068908
0.5415860735009671,0.029593791635021623
0.5405405405405405,0.029690282371533594
0.5394990366088632,0.02978418603876596
0.5384615384615384,0.0298754411682293
0.5374280230326296,0.02996396131495407
0.5363984674329502,0.030049645407522408
0.5353728489483748,0.030132390714459452
0.5343511450381679,0.03021210620969039
0.5333333333333333,0.030288724055835298
0.5323193916349809,0.030362207249947724
0.5313092979127134,0.030432552136036236
0.5303030303030303,0.030499785368384578
0.5293005671077504,0.030563955858464394
0.5283018867924528,0.030625123094053363
0.527306967984934,0.03068334383513713
0.5263157894736842,0.03073865946352545
0.5253283302063789,0.030791086145232422
0.5243445692883895,0.030840609478358816
0.5233644859813084,0.030887184528295804
0.5223880597014925,0.03093074122931801
0.521415270018622,0.03097119421517501
0.5204460966542751,0.031008455387685787
0.5194805194805194,0.031042447070191416
0.5185185185185185,0.03107311349978787
0.5175600739371533,0.03110042870342021
0.5166051660516604,0.031124399427130377
0.5156537753222835,0.031145062636947544
0.5147058823529411,0.031162478038588615
0.5137614678899082,0.031176716911680093
0.5128205128205128,0.03118784917864055
0.5118829981718463,0.031195930922026705
0.510948905109489,0.031200994478873246
0.5100182149362477,0.031203042791811655
0.509090909090909,0.03120204896317311
0.5081669691470054,0.031197961066026545
0.5072463768115941,0.031190711368503668
0.5063291139240506,0.03118022837815604
0.5054151624548736,0.03116644963880341
0.5045045045045045,0.031149333093261424
