wavelength (nm),Re(eps_actual),Im(eps_actual),Re(eps_fit),Im(eps_fit)
0.5767,-47.8336,15.120000000000001,-50.45685306169747,11.777661060029825
0.5636,-45.882099999999994,13.974,-48.062040617015576,10.4223741378751
0.551,-43.962631,12.9042,-45.77906826913309,9.266549257967968
0.55,-43.838336000000005,12.81804,-45.59919260784568,9.180559800979918
0.5390999999999999,-42.070755999999996,11.9472,-43.65422887283128,8.294130573351886
0.5276000000000001,-40.464711,11.13228,-41.63811086067162,7.452832410288205
0.5166,-38.756124,10.37456,-39.74934566761175,6.729204890656993
0.5061,-37.199979000000006,9.7047,-37.98603999623252,6.104867673215384
0.5,-36.375039,9.351040000000001,-36.98033915415214,5.769333507824248
0.4959,-35.790875,9.1053,-36.31231449294987,5.554284338201334
0.47690000000000005,-33.156975,8.062,-33.30206689316921,4.6575599509641075
0.4592,-30.721664,7.1870400000000005,-30.62682080621185,3.951446719466507
0.44999999999999996,-29.538975999999995,6.76092,-29.285866418502167,3.6267050285445936
0.4428,-28.586796,6.43448,-28.260031350976803,3.3905915422636466
0.4275,-26.728636,5.8032,-26.14851780246645,2.936347864719547
0.4133,-24.926870999999995,5.25092,-24.27112334735672,2.566242230775779
0.39999999999999997,-23.3795,4.7628,-22.583452119690474,2.2589186571864244
0.3875,-21.9725,4.3332,-21.058610905511934,2.000761623123596
0.37570000000000003,-20.606976,3.93984,-19.672751189163584,1.7814322572547507
0.36469999999999997,-19.459251,3.6060199999999996,-18.426948894202447,1.5961870220740473
0.35419999999999996,-18.341775,3.311,-17.278618004982235,1.4350718500697566
0.35,-17.836975000000002,3.18,-16.830320409634776,1.374618244731463
0.3444,-17.256404,3.03576,-16.24230549379275,1.2973650815314954
0.33509999999999995,-16.365263999999996,2.7932799999999993,-15.290094022206691,1.1770970662283782
0.3263,-15.496224000000002,2.5754,-14.416721160464347,1.0719420535160133
0.3179,-14.6495,2.3808,-13.607825085903334,0.9788656609831641
0.31,-13.901164000000001,2.19912,-12.868918804337147,0.8974110521520748
0.3,-12.955924,1.99272,-11.96361562815214,0.8021890905542406
0.2917,-12.251978999999999,1.83222,-11.237412864680838,0.7294016843425053
0.2755,-10.835710999999998,1.5378,-9.88495274046849,0.6022676298097771
0.261,-9.628419,1.29998,-8.746192863910855,0.503637666952413
0.248,-8.6075,1.1172,-7.781985062456414,0.4261090964432427
0.23620000000000002,-7.754516000000001,0.95976,-6.95262812796489,0.3638172797149166
0.2254,-6.945575000000001,0.8184,-6.23137047768775,0.3129679914876644
0.21559999999999999,-6.280218999999999,0.7078199999999999,-5.607875260512587,0.27152688729411595
0.2066,-5.695200000000001,0.6214000000000001,-5.061029009770851,0.23712510485882027
0.1984,-5.184239,0.5426399999999999,-4.5841047805726,0.20862785571602907
