wavelength(um),Meep_Re,FDTD_Re,RelErr_Re(%),Meep_Im,FDTD_Im,RelErr_Im(%)
0.4,-23.079516412709616,-22.849362411591,1.0072666229052618,4.235913544094461,3.79932058688,11.491342918576688
0.4061224489795919,-23.825220815156673,-23.519656486899656,1.2991870371372753,4.465894974558483,4.033678066166813,10.715205856832414
0.4122448979591837,-24.570925217603726,-24.30748336042256,1.083789108378464,4.695876405022504,4.316619078880008,8.785980861690913
0.41836734693877553,-25.335367924686473,-25.103047606924306,0.9254665863681202,4.943177626391375,4.61047111939381,7.216323416451839
0.4244897959183674,-26.10371224413195,-25.906419054686538,0.7615610209536844,5.194085103055377,4.915329382335042,5.671150375438554
0.4306122448979592,-26.883964970322626,-26.716939079510276,0.6251685131866249,5.457169232726695,5.231129870857726,4.321042823429403
0.43673469387755104,-27.675735663693104,-27.53461401493492,0.512524521613552,5.732030780880506,5.5580130531011385,3.130934132698248
0.4428571428571429,-28.46766705386421,-28.35897252319275,0.3832809195839765,6.007072300372482,5.895866697090822,1.886162102961588
0.4489795918367347,-29.276655261587877,-29.189655589554967,0.2980496695686988,6.30121649190122,6.244690243138617,0.9051889935567539
0.45510204081632655,-30.09571419363055,-30.026523921147948,0.23043051091861305,6.607615610049366,6.604434469944617,0.04816672978171692
0.46122448979591835,-30.923032292287036,-30.869202746970142,0.1743794478857335,6.924827993678347,6.975060403191927,-0.7201716775182679
0.4673469387755102,-31.762991523679474,-31.71727578937078,0.14413512248745458,7.258967250850851,7.356380441336105,-1.324200009258372
0.47346938775510206,-32.60295075507191,-32.570752949353405,0.09885496282069431,7.5931065080233555,7.7484522001182015,-2.004860946196147
0.47959183673469385,-33.45337230614,-33.42903751832677,0.07279535882504252,7.94336725345147,8.151050890585534,-2.5479369460683734
0.4857142857142857,-34.31712756408814,-34.29197499764773,0.07334825842529237,8.314174035087083,8.564024317051203,-2.9174401276122177
0.49183673469387756,-35.18088282203629,-35.15928533639059,0.06142754449944885,8.684980816722696,8.987262866025977,-3.3634495152687753
0.49795918367346936,-36.049256769977156,-36.03059322579395,0.05179915874891621,9.063957963712129,9.420447937184285,-3.7842146769372067
0.5040816326530613,-36.930494368174536,-36.90572075486731,0.06712675650416038,9.466461945583934,9.863380250674199,-4.024161038130255
0.5102040816326531,-37.819372120212314,-37.78434779495619,0.09269532835710234,9.885075460048895,10.315773409553284,-4.1751396856538685
0.5163265306122449,-38.71108518060773,-38.666404637139856,0.11555391272391531,10.309790757512229,10.777407069090678,-4.338857283395754
0.5224489795918368,-39.612461293111025,-39.551466726399575,0.1542156884683569,10.75810814170795,11.24779075303458,-4.353589269915225
0.5285714285714286,-40.515747929891745,-40.43964992725292,0.18817670967902925,11.211772209542538,11.726679371907514,-4.390903392468371
0.5346938775510204,-41.426769500962976,-41.33058937475277,0.23270930239615636,11.687935757806672,12.213594855915339,-4.303885173119834
0.5408163265306123,-42.33992756722853,-42.22430535094379,0.2738285812490151,12.171801149538673,12.7081060207825,-4.2201793907508165
0.5469387755102041,-43.25857040534246,-43.120974801205904,0.3190920538575324,12.675438574620376,13.209724803710605,-4.04464314760099
0.5530612244897959,-44.17999464870522,-44.02037020579783,0.36261494885466117,13.19236756961561,13.71785452978547,-3.8306789084901967
0.5591836734693878,-45.10523022059044,-44.92286009503646,0.4059628553662156,13.728258310845439,14.231858020065486,-3.5385380356522855
0.5653061224489796,-46.03164883257348,-45.82886911219027,0.44247157809371684,14.27346309601824,14.751418674724652,-3.2400651709882657
0.5714285714285714,-46.961129763661425,-46.73871238835974,0.47587398953909027,14.842777439914268,15.275557453388954,-2.8331536495165435
0.5775510204081633,-47.89083440307241,-47.65357673198877,0.4978800907600585,15.417051673615811,15.80397099274962,-2.4482411370617965
0.5836734693877551,-48.82192474655622,-48.573953223236245,0.5105030718425319,16.022048677983097,16.336126089501658,-1.922594192759085
0.5897959183673469,-49.75301509004003,-49.50173906637376,0.5076104969349688,16.627045682350385,16.871427822017417,-1.448497081842178
0.5959183673469388,-50.68316708942567,-50.438536963030955,0.4850063882186352,17.260470318295866,17.41004402013816,-0.8591230537342774
0.6020408163265306,-51.61259050222611,-51.38697000162365,0.4390616932567366,17.903563243529618,17.952374183382638,-0.27189127941752145
0.6081632653061224,-52.538296869153626,-52.350147184937676,0.3594062181931852,18.574774113353115,18.49969886660162,0.40581875030967435
0.6142857142857143,-53.46198072531239,-53.33178197633865,0.24412975555833547,19.258295047373828,19.054762103565462,1.0681473885747508
0.6204081632653061,-54.38477149521509,-54.33596535457571,0.08982290149974897,19.94534529034155,19.622751952426306,1.6439760268964507
0.6265306122448979,-55.2976952759998,-55.366303655582776,-0.12391721146813081,20.671388018904683,20.21235243941641,2.2710645921308026
0.6326530612244898,-56.21061905678453,-56.42357534808292,-0.37742431241664576,21.39743074746783,20.837065948202152,2.689269212175366
0.6387755102040816,-57.11610788134202,-57.50154760475643,-0.670311912409348,22.143311069791476,21.514985644870812,2.92040829258214
0.6448979591836734,-58.0137333982847,-58.58160156857412,-0.9693626583846303,22.910171892512047,22.265382773632094,2.8959264946639385
0.6510204081632653,-58.90959654397821,-59.629476124541114,-1.207254578355468,23.680767343372956,23.099547547000594,2.5161522977441706
0.6571428571428571,-59.78524563094077,-60.59526917121955,-1.3367768661773811,24.48947187894084,24.00855097354916,2.003123411827411
0.6632653061224489,-60.656930070678115,-61.44344907058454,-1.2800697418579086,25.30493446511974,24.944517969121367,1.444872562558751
