wavelength (microns),Re_eps,Im_eps
0.619124,2.12439,1.65837e-05
0.618713,2.12442,1.64236e-05
0.618302,2.12446,1.62645e-05
0.617893,2.12449,1.61063e-05
0.617483,2.12452,1.5949e-05
0.617075,2.12455,1.57927e-05
0.616667,2.12458,1.56372e-05
0.616259,2.12461,1.54828e-05
0.615852,2.12464,1.53292e-05
0.615446,2.12467,1.51765e-05
0.61504,2.1247,1.50248e-05
0.614634,2.12473,1.4874e-05
0.614229,2.12476,1.47241e-05
0.613825,2.12479,1.4575e-05
0.613421,2.12483,1.44269e-05
0.613018,2.12486,1.42797e-05
0.612615,2.12489,1.41334e-05
0.612213,2.12492,1.3988e-05
0.611811,2.12495,1.38435e-05
0.61141,2.12498,1.36999e-05
0.611009,2.12501,1.35571e-05
0.610609,2.12504,1.34153e-05
0.610209,2.12507,1.32743e-05
0.60981,2.12511,1.31342e-05
0.609412,2.12514,1.2995e-05
0.609014,2.12517,1.28567e-05
0.608616,2.1252,1.27192e-05
0.608219,2.12523,1.25826e-05
0.607823,2.12526,1.24469e-05
0.607427,2.12529,1.2312e-05
0.607031,2.12533,1.2178e-05
0.606636,2.12536,1.20449e-05
0.606242,2.12539,1.19126e-05
0.605848,2.12542,1.17811e-05
0.605455,2.12545,1.16506e-05
0.605062,2.12548,1.15208e-05
0.604669,2.12552,1.13919e-05
0.604277,2.12555,1.12639e-05
0.603886,2.12558,1.11367e-05
0.603495,2.12561,1.10103e-05
0.603105,2.12564,1.08848e-05
0.602715,2.12567,1.07601e-05
0.602326,2.12571,1.06362e-05
0.601937,2.12574,1.05132e-05
0.601548,2.12577,1.0391e-05
0.601161,2.1258,1.02696e-05
0.600773,2.12583,1.01491e-05
0.600386,2.12587,1.00293e-05
0.6,2.1259,9.91042e-06
0.599614,2.12593,9.79231e-06
0.599229,2.12596,9.67502e-06
0.598844,2.12599,9.55854e-06
0.59846,2.12603,9.44287e-06
0.598076,2.12606,9.328e-06
0.597692,2.12609,9.21394e-06
0.597309,2.12612,9.10068e-06
0.596927,2.12616,8.98822e-06
0.596545,2.12619,8.87656e-06
0.596164,2.12622,8.76569e-06
0.595783,2.12625,8.65562e-06
0.595402,2.12629,8.54633e-06
0.595022,2.12632,8.43784e-06
0.594643,2.12635,8.33013e-06
0.594264,2.12638,8.22321e-06
0.593885,2.12642,8.11706e-06
0.593507,2.12645,8.0117e-06
0.59313,2.12648,7.90712e-06
0.592753,2.12651,7.80331e-06
0.592376,2.12655,7.70027e-06
0.592,2.12658,7.59801e-06
0.591624,2.12661,7.49651e-06
0.591249,2.12664,7.39579e-06
0.590875,2.12668,7.29583e-06
0.5905,2.12671,7.19663e-06
0.590127,2.12674,7.09819e-06
0.589753,2.12678,7.00051e-06
0.589381,2.12681,6.9036e-06
0.589262,2.12682,6.87291e-06
0.589008,2.12684,6.80743e-06
0.588636,2.12687,6.71202e-06
0.588265,2.12691,6.61736e-06
0.587894,2.12694,6.52345e-06
0.587561,2.12697,6.43966e-06
0.587524,2.12697,6.43029e-06
0.587154,2.12701,6.33787e-06
0.586784,2.12704,6.2462e-06
0.586415,2.12707,6.15526e-06
0.586047,2.12711,6.06507e-06
0.585678,2.12714,5.97562e-06
0.585311,2.12717,5.8869e-06
0.584944,2.12721,5.79891e-06
0.584577,2.12724,5.71166e-06
0.584211,2.12727,5.62514e-06
0.583845,2.12731,5.53935e-06
0.583479,2.12734,5.45428e-06
0.583114,2.12737,5.36994e-06
0.58275,2.12741,5.28632e-06
0.582386,2.12744,5.20342e-06
0.582022,2.12747,5.12124e-06
0.581659,2.12751,5.03978e-06
0.581297,2.12754,4.95903e-06
0.580935,2.12758,4.879e-06
0.580573,2.12761,4.79968e-06
0.580212,2.12764,4.72108e-06
0.579851,2.12768,4.64318e-06
0.57949,2.12771,4.56598e-06
0.57913,2.12774,4.4895e-06
0.579065,2.12775,4.47566e-06
0.578771,2.12778,4.41371e-06
0.578412,2.12781,4.33863e-06
0.578053,2.12785,4.26425e-06
0.577695,2.12788,4.19056e-06
0.577337,2.12791,4.11758e-06
0.57698,2.12795,4.04529e-06
0.576959,2.12795,4.04102e-06
0.576623,2.12798,3.97369e-06
0.576267,2.12802,3.90278e-06
0.575911,2.12805,3.83257e-06
0.575556,2.12808,3.76304e-06
0.5752,2.12812,3.6942e-06
0.574846,2.12815,3.62604e-06
0.574492,2.12819,3.55857e-06
