wavelength (microns),Re_eps,Im_eps
0.07514,0.722744,1.71687
0.07402,0.678151,1.71972
0.07293,0.55936,1.64659
0.07187,0.478731,1.57178
0.07085,0.435501,1.4985
0.06985,0.416264,1.42545
0.06888,0.408905,1.36277
0.06701,0.401,1.25516
0.06526,0.397579,1.16358
0.06358,0.396872,1.07765
0.06199,0.395656,1.00503
0.06,0.496035,0.856828
0.05904,0.403029,0.87662
0.059,0.491877,0.820364
0.058,0.489749,0.79242
0.057,0.491389,0.7497
0.05636,0.404809,0.76512
0.056,0.502341,0.71294
0.055,0.50922,0.670752
0.054,0.519264,0.62909
0.05391,0.41072,0.671832
0.053,0.523765,0.593652
0.052,0.531987,0.552916
0.05166,0.426384,0.56475
0.051,0.542732,0.517776
0.05,0.554809,0.4818
0.04959,0.431664,0.47645
0.049,0.566892,0.453456
0.048,0.579964,0.43632
0.047,0.598469,0.4065
0.046,0.6132,0.380722
0.045,0.62816,0.358392
0.044,0.643125,0.334108
0.043,0.657789,0.31654
0.042,0.671521,0.30204
0.041,0.685464,0.28561
0.04,0.699865,0.265512
0.039,0.715428,0.247104
0.038,0.731187,0.237284
0.037,0.740516,0.22272
0.036,0.754729,0.21048
0.035,0.765155,0.199332
0.034,0.777095,0.190032
0.033,0.791421,0.17542
0.032,0.802965,0.169388
0.031,0.814185,0.166888
0.03,0.825469,0.16434
0.029,0.828124,0.149847
0.028,0.836181,0.137625
0.027,0.843064,0.125215
0.026,0.823739,0.132205
0.025,0.835564,0.119132
0.024,0.847112,0.106606
0.023,0.85681,0.0964184
0.022,0.867981,0.0861907
0.021,0.87906,0.0820336
0.02,0.885212,0.0704317
0.019,0.893415,0.0633686
0.018,0.903421,0.0534406
0.017,0.913723,0.0466626
0.016,0.922626,0.0434282
0.015,0.927744,0.0383433
0.0138,0.949934,0.0200788
0.0136,0.952685,0.0181555
0.0134,0.954453,0.0169998
0.0132,0.956024,0.0162315
0.013,0.958187,0.0148793
0.0128,0.959167,0.0148869
0.0126,0.960935,0.0143124
0.0124,0.962901,0.0137382
0.0122,0.964867,0.0133593
0.012,0.968017,0.0127907
0.0118,0.971745,0.014787
0.0116,0.973465,0.020918
0.0114,0.965643,0.031253
0.0112,0.96463,0.0182689
0.011,0.968962,0.0177192
0.0108,0.969733,0.019499
0.0106,0.968361,0.0188947
0.0104,0.970353,0.0163527
0.0102,0.97311,0.0167705
0.01,0.974865,0.0191556
0.0098,0.974441,0.0219158
0.0096,0.973651,0.021907
0.0094,0.971672,0.0224762
0.0092,0.970899,0.0210876
0.009,0.970718,0.0195089
0.0088,0.971131,0.0175419
0.0086,0.97213,0.0159732
0.0084,0.973124,0.0149948
0.0082,0.974313,0.0144117
0.008051,0.975103,0.0144175
0.007847,0.97649,0.013815
0.007653,0.977484,0.0130904
0.007469,0.978676,0.0122475
0.007293,0.97967,0.0114817
0.007125,0.980546,0.0107738
0.006965,0.981421,0.0101247
0.006812,0.982216,0.00955401
0.00663,0.983151,0.00886446
0.006491,0.983848,0.0083518
0.006325,0.984664,0.00774002
0.006168,0.98542,0.00720693
0.006018,0.986117,0.00669309
0.005876,0.986754,0.0062383
0.00574,0.987372,0.00580303
0.00561,0.987929,0.00540709
0.005462,0.988567,0.00497135
0.005344,0.989045,0.00465431
0.005209,0.989583,0.00429745
0.005081,0.990101,0.00398016
0.004959,0.990559,0.0036825
0.004843,0.990997,0.00340458
0.004732,0.991416,0.00316633
0.004609,0.991855,0.00290809
0.004508,0.992193,0.00270936
0.004396,0.992592,0.00249073
0.00429,0.992931,0.00231179
0.004188,0.99327,0.00213279
0.004092,0.993569,0.00197562
0.003986,0.993908,0.00181246
0.003899,0.994168,0.00168307
0.003803,0.994447,0.00154968
0.003712,0.994707,0.0014302
0.003625,0.994946,0.00132065
0.003532,0.995205,0.00121109
0.003453,0.995425,0.00112342
0.003369,0.995644,0.00103374
0.003289,0.995844,0.000952016
0.003212,0.996044,0.000878258
0.003131,0.996243,0.000806481
0.003054,0.996423,0.000740672
0.002987,0.996563,0.000686817
0.00291,0.996743,0.000628973
0.002844,0.996902,0.000579101
0.002774,0.997042,0.00053321
0.002707,0.997182,0.000489309
0.002643,0.997322,0.000451394
0.002583,0.997442,0.000415468
0.00252,0.997561,0.000381534
0.00246,0.997681,0.000351592
0.002403,0.997781,0.00032364
0.002344,0.997881,0.000297684
0.002287,0.997981,0.000992996
0.002234,0.998081,0.000915121
0.002179,0.998181,0.000839236
0.002127,0.998261,0.000771328
0.002077,0.998341,0.000711409
0.002026,0.998421,0.000653483
0.001977,0.9985,0.000601549
0.001931,0.99856,0.000553601
0.001884,0.99864,0.000507655
0.001839,0.9987,0.000465697
0.001797,0.99876,0.000429733
0.001754,0.99882,0.000395766
0.00171,0.99888,0.000361797
0.001671,0.99892,0.00033382
0.001631,0.99898,0.000307843
0.001592,0.99902,0.000281862
0.001554,0.99908,0.000257881
0.001516,0.99912,0.000235896
0.001479,0.99916,0.000215909
0.001445,0.9992,0.000198521
0.00141,0.99924,0.000182331
0.001376,0.99928,0.00016714
