0.463947,0.634875,5.62572,,3.542E-07,0.385,4.3,,0.3542,0.385,4.3
0.465109,0.639628,5.64054,,0.00000035,0.375,4.24,,0.35,0.375,4.24
0.466276,0.644417,5.65543,,3.444E-07,0.364,4.17,,0.3444,0.364,4.17
0.46745,0.649241,5.67037,,3.351E-07,0.344,4.06,,0.3351,0.344,4.06
0.468629,0.6541,5.68538,,3.263E-07,0.326,3.95,,0.3263,0.326,3.95
0.469815,0.658995,5.70044,,3.179E-07,0.31,3.84,,0.3179,0.31,3.84
0.471006,0.663926,5.71555,,0.00000031,0.294,3.74,,0.31,0.294,3.74
0.472203,0.668894,5.73073,,0.0000003,0.276,3.61,,0.3,0.276,3.61
0.473407,0.673898,5.74597,,2.917E-07,0.261,3.51,,0.2917,0.261,3.51
0.474617,0.678938,5.76126,,2.755E-07,0.233,3.3,,0.2755,0.233,3.3
0.475833,0.684015,5.77662,,0.000000261,0.209,3.11,,0.261,0.209,3.11
0.477055,0.68913,5.79204,,0.000000248,0.19,2.94,,0.248,0.19,2.94
0.478283,0.694282,5.80751,,2.362E-07,0.172,2.79,,0.2362,0.172,2.79
0.479518,0.699472,5.82305,,2.254E-07,0.155,2.64,,0.2254,0.155,2.64
0.480759,0.704699,5.83865,,2.156E-07,0.141,2.51,,0.2156,0.141,2.51
0.482007,0.709965,5.85431,,2.066E-07,0.13,2.39,,0.2066,0.13,2.39
0.483261,0.715269,5.87003,,1.984E-07,0.119,2.28,,0.1984,0.119,2.28
0.484522,0.720611,5.88582,,,,,,,,
0.485789,0.725992,5.90166,,,,,,,,
0.487063,0.731413,5.91757,,,,,,,,
0.488344,0.736872,5.93354,,,,,,,,
0.489631,0.742371,5.94957,,,,,,,,
0.490925,0.747909,5.96567,,,,,,,,
0.492226,0.753487,5.98183,,,,,,,,
0.493534,0.759105,5.99805,,,,,,,,
0.494849,0.764764,6.01434,,,,,,,,
0.496171,0.770462,6.0307,,,,,,,,
0.4975,0.776202,6.04711,,,,,,,,
0.498836,0.781982,6.0636,,,,,,,,
0.50018,0.787803,6.08014,,,,,,,,
0.50153,0.793665,6.09676,,,,,,,,
0.502888,0.799569,6.11344,,,,,,,,
0.504253,0.805514,6.13018,,,,,,,,
0.505626,0.8115,6.147,,,,,,,,
0.507006,0.817529,6.16388,,,,,,,,
0.508394,0.823599,6.18082,,,,,,,,
0.50979,0.829711,6.19784,,,,,,,,
0.511193,0.835865,6.21492,,,,,,,,
0.512603,0.842062,6.23207,,,,,,,,
0.514022,0.848301,6.24929,,,,,,,,
0.515449,0.854582,6.26658,,,,,,,,
0.516883,0.860906,6.28394,,,,,,,,
0.518326,0.867272,6.30137,,,,,,,,
0.519776,0.873681,6.31887,,,,,,,,
0.521235,0.880133,6.33643,,,,,,,,
0.522702,0.886627,6.35407,,,,,,,,
0.524177,0.893164,6.37178,,,,,,,,
0.52566,0.899744,6.38957,,,,,,,,
0.527152,0.906367,6.40742,,,,,,,,
0.528653,0.913032,6.42535,,,,,,,,
0.530162,0.919739,6.44335,,,,,,,,
0.531679,0.92649,6.46142,,,,,,,,
0.533206,0.933282,6.47957,,,,,,,,
0.534741,0.940117,6.49779,,,,,,,,
0.536285,0.946994,6.51609,,,,,,,,
0.537838,0.953914,6.53446,,,,,,,,
0.5394,0.960874,6.55291,,,,,,,,
0.540971,0.967877,6.57143,,,,,,,,
0.542551,0.974921,6.59004,,,,,,,,
0.544141,0.982006,6.60872,,,,,,,,
0.545739,0.989132,6.62748,,,,,,,,
0.547348,0.996298,6.64632,,,,,,,,
0.548966,1.0035,6.66523,,,,,,,,
0.550593,1.01075,6.68423,,,,,,,,
0.55223,1.01804,6.70332,,,,,,,,
0.553877,1.02536,6.72248,,,,,,,,
0.555533,1.03272,6.74173,,,,,,,,
0.5572,1.04013,6.76106,,,,,,,,
0.558877,1.04756,6.78048,,,,,,,,
0.560563,1.05504,6.79999,,,,,,,,
0.56226,1.06255,6.81958,,,,,,,,
0.563968,1.0701,6.83927,,,,,,,,
0.565685,1.07768,6.85904,,,,,,,,
0.567413,1.08529,6.87891,,,,,,,,
0.569152,1.09294,6.89887,,,,,,,,
0.570902,1.10062,6.91893,,,,,,,,
0.572662,1.10834,6.93909,,,,,,,,
0.574433,1.11608,6.95935,,,,,,,,
0.576215,1.12385,6.97972,,,,,,,,
