Wavelength (μm),Power (W)
0.6999999999999998,0.009745661933659002
0.6982543640897755,0.009900939305279376
0.6965174129353233,0.010057523113376874
0.694789081885856,0.010215343653447973
0.693069306930693,0.010374346417318568
0.691358024691358,0.010534499276460461
0.689655172413793,0.010695795782531221
0.6879606879606879,0.010858253983707553
0.6862745098039215,0.011021910920570904
0.6845965770171148,0.011186813709010278
0.6829268292682925,0.011353008711702337
0.6812652068126519,0.011520530640786727
0.6796116504854367,0.011689393461601418
0.6779661016949151,0.01185958467343514
0.6763285024154588,0.012031063976168384
0.6746987951807227,0.012203766586600594
0.6730769230769229,0.012377610671894248
0.671462829736211,0.012552507656422247
0.6698564593301435,0.012728373655318299
0.6682577565632457,0.012905140081163703
0.6666666666666665,0.013082761597561757
0.6650831353919239,0.013261220035249413
0.6635071090047393,0.013440523569489118
0.6619385342789598,0.013620701265988562
0.660377358490566,0.01380179389865335
0.6588235294117646,0.013983842589003362
0.6572769953051643,0.014166877202052529
0.6557377049180327,0.014350906488774186
0.6542056074766354,0.014535911679227149
0.6526806526806526,0.014721844649690643
0.6511627906976742,0.014908631009686462
0.6496519721577725,0.015096177612633524
0.648148148148148,0.015284383231512731
0.6466512702078521,0.01547315058965074
0.6451612903225805,0.01566239769274823
0.6436781609195401,0.015852066515315576
0.6422018348623852,0.016042127536672685
0.6407322654462242,0.016232579324628123
0.639269406392694,0.01642344320985728
0.6378132118451024,0.016614753936505567
0.6363636363636362,0.01680654786997524
0.6349206349206349,0.016998850770974683
0.6334841628959276,0.017191667230632767
0.6320541760722347,0.017384973588210468
0.6306306306306306,0.01757871556560258
0.6292134831460674,0.017772811050552985
0.6278026905829596,0.017967157579875687
0.6263982102908277,0.018161643265835595
0.625,0.01835615931215491
0.6236080178173719,0.018550611984513448
0.6222222222222221,0.018744931983667678
0.6208425720620842,0.018939079605023272
0.6194690265486724,0.019133044783472775
0.6181015452538631,0.019326841995145092
0.6167400881057268,0.0195205008694683
0.6153846153846153,0.01971405410407894
0.6140350877192982,0.019907524744478555
0.612691466083151,0.020100915007947865
0.611353711790393,0.020294198575572183
0.6100217864923747,0.0204873176895868
0.608695652173913,0.02068018557492634
0.6073752711496746,0.02087269379335119
0.606060606060606,0.021064723291644435
0.6047516198704104,0.0212561572677001
0.603448275862069,0.021446893660000885
0.6021505376344086,0.021636855122702376
0.6008583690987124,0.021825994772070815
0.5995717344753746,0.022014296708686598
0.5982905982905982,0.02220177121172236
0.5970149253731343,0.022388445413990148
0.5957446808510637,0.02257435104312386
0.5944798301486198,0.02275951132167068
0.5932203389830508,0.022943929268908935
0.5919661733615221,0.023127579413558606
0.590717299578059,0.023310404347801548
0.5894736842105263,0.02349231672773983
0.588235294117647,0.02367320639431508
0.5870020964360586,0.0238529514111729
0.5857740585774058,0.024031431142540707
0.5845511482254697,0.024208539140830754
0.5833333333333333,0.02438419364159157
0.582120582120582,0.024558343868691906
0.5809128630705394,0.024730971066566902
0.5797101449275363,0.024902084077153608
0.5785123966942148,0.025071710212777806
0.5773195876288659,0.02523988298286379
0.5761316872427983,0.025406628773391858
0.5749486652977412,0.025571954760364928
0.5737704918032787,0.025735840130564493
0.5725971370143148,0.025898232119369452
0.5714285714285714,0.026059047552764673
0.570264765784114,0.02621817963928133
0.5691056910569106,0.026375508858711955
0.5679513184584178,0.026530916092133445
0.5668016194331983,0.02668429575238519
0.5656565656565656,0.02683556667225533
0.564516129032258,0.026984678889465125
0.5633802816901408,0.02713161516851173
0.5622489959839357,0.027276386999077883
0.561122244488978,0.027419025755558084
0.5599999999999999,0.027559570530326327
0.5588822355289421,0.027698054722659463
0.5577689243027888,0.02783449367853936
